"","Name","Disaster","Begin Date","End Date","Total CPI-Adjusted Cost (Millions of Dollars)","Deaths","state"
"273","Tropical Storm Lee (September 2011)","Tropical Cyclone",20110901,20110905,2939.6,21,"CT"
"274","Hurricane Sandy (October 2012)","Tropical Cyclone",20121030,20121031,73494.6,159,"CT"
"275","Central and Eastern Winter storm, Cold Wave (February 2015)","Winter Storm",20150214,20150220,3258.4,30,"CT"
"276","Central and Northeast Severe Weather (June 2015)","Severe Storm",20150621,20150625,1289.1,1,"CT"
"277","Southeast and Eastern Tornadoes (February 2016)","Severe Storm",20160222,20160224,1133.6,10,"CT"
"278","West/Northeast/Southeast Drought (2016)","Drought",20160101,20161231,3764.1,0,"CT"
"279","Central and Eastern Winter Storm (January 2018)","Winter Storm",20180103,20180105,1084.8,22,"CT"
"280","Northeast Winter Storm (March 2018)","Winter Storm",20180301,20180303,2259.9,9,"CT"
"281","Central and Eastern Severe Weather (May 2018)","Severe Storm",20180513,20180515,1411.1,5,"CT"
"282","Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)","Winter Storm",19820108,19820116,1807.5,85,"DE"
"283","Freeze, Cold Wave (December 1983)","Freeze",19831215,19831225,5275.3,151,"DE"
"284","Winter Storm, Cold Wave (January 1985)","Winter Storm",19850119,19850122,2042,150,"DE"
"285","Hurricane Gloria (September 1985)","Tropical Cyclone",19850926,19850928,2089.1,11,"DE"
"286","Northeast Winter Storm (December 1992)","Winter Storm",19921210,19921213,4618.5,19,"DE"
"287","East Coast Blizzard and Severe Weather (March 1993)","Winter Storm",19930311,19930314,9948.6,270,"DE"
"288","Winter Storm, Cold Wave (January 1994)","Winter Storm",19940117,19940120,1830.3,70,"DE"
"289","Southeast Ice Storm (February 1994)","Winter Storm",19940208,19940213,5275.8,9,"DE"
"290","Blizzard/Floods (January 1996)","Winter Storm",19960101,19960131,5014.9,187,"DE"
"291","Central and Eastern Winter Storm (January 1999)","Winter Storm",19990101,19990104,1620.7,25,"DE"
"292","Hurricane Floyd (September 1999)","Tropical Cyclone",19990914,19990916,10190.8,77,"DE"
"293","U.S. Drought (Spring-Fall 2002)","Drought",20020301,20021130,13045.6,0,"DE"
"294","Hurricane Isabel (September 2003)","Tropical Cyclone",20030918,20030919,7787.3,55,"DE"
"295","Hurricane Ivan (September 2004)","Tropical Cyclone",20040912,20040921,28495.7,57,"DE"
"296","Hurricane Jeanne (September 2004)","Tropical Cyclone",20040915,20040929,10420.1,28,"DE"
"297","Northeast Flooding (June 2006)","Flooding",20060625,20060628,1978,20,"DE"
"298","East/South Severe Weather and Flooding (April 2007)","Severe Storm",20070413,20070417,3185,9,"DE"
"299","Western/Eastern Drought/Heatwave (Summer-Fall 2007)","Drought",20070601,20071130,4493.7,15,"DE"
"300","Southern Plains/Southwest Drought & Heat Wave (Spring-Summer 2011)","Drought",20110301,20110831,14044.5,95,"DE"
"301","Hurricane Sandy (October 2012)","Tropical Cyclone",20121030,20121031,73494.6,159,"DE"
"302","U.S. Drought/Heatwave (2012)","Drought",20120101,20121231,33903.9,123,"DE"
"303","Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014)","Severe Storm",20140427,20140501,1909.9,33,"DE"
"304","Rockies/Midwest/Eastern Severe Weather (May 2014)","Severe Storm",20140518,20140523,4084.6,0,"DE"
"305","Central and Eastern Winter storm, Cold Wave (February 2015)","Winter Storm",20150214,20150220,3258.4,30,"DE"
"306","Northeast Winter Storm (March 2018)","Winter Storm",20180301,20180303,2259.9,9,"DE"
"307","Florida Freeze (January 1981)","Freeze",19810112,19810114,1693.1,0,"FL"
"308","Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)","Winter Storm",19820108,19820116,1807.5,85,"FL"
"309","Gulf States Storms and Flooding (December 1982-January 1983)","Flooding",19821201,19830115,4193.5,45,"FL"
"310","Freeze, Cold Wave (December 1983)","Freeze",19831215,19831225,5275.3,151,"FL"
"311","Tornadoes, Severe Storms, Floods (Spring 1984)","Severe Storm",19840327,19840407,1519.7,80,"FL"
"312","Winter Storm, Cold Wave (January 1985)","Winter Storm",19850119,19850122,2042,150,"FL"
"313","Florida Freeze (January 1985)","Freeze",19850120,19850122,2928,0,"FL"
"314","Hurricane Elena (September 1985)","Tropical Cyclone",19850830,19850903,3165.6,4,"FL"
"315","Hurricane Juan (October 1985)","Tropical Cyclone",19851027,19851031,3651.9,63,"FL"
"316","Florida Freeze (December 1989)","Freeze",19891223,19891225,4240,10,"FL"
"317","Winter Storm, Cold Wave (December 1989)","Winter Storm",19891221,19891226,1441.8,100,"FL"
"318","Severe Storms (March 1992)","Severe Storm",19920324,19920325,1496.1,0,"FL"
"319","Hurricane Andrew (August 1992)","Tropical Cyclone",19920823,19920827,50220,61,"FL"
"320","East Coast Blizzard and Severe Weather (March 1993)","Winter Storm",19930311,19930314,9948.6,270,"FL"
"321","Southeast Drought/Heat Wave (Summer 1993)","Drought",19930601,19930831,2264.4,16,"FL"
"322","Tropical Storm Alberto (July 1994)","Tropical Cyclone",19940707,19940710,1757.4,32,"FL"
"323","Hurricane Erin (August 1995)","Tropical Cyclone",19950801,19950807,1453.5,6,"FL"
"324","Hurricane Opal (October 1995)","Tropical Cyclone",19951004,19951006,8018.2,27,"FL"
"325","Western/Eastern Severe Weather and Flooding (Winter-Spring 1998)","Severe Storm",19971201,19980228,1627.3,132,"FL"
"326","Southern Drought/Heat Wave (Summer 1998)","Drought",19980601,19980831,5609.5,200,"FL"
"327","Hurricane Georges (September 1998)","Tropical Cyclone",19980920,19980929,9515.3,16,"FL"
"328","Central and Eastern Winter Storm (January 1999)","Winter Storm",19990101,19990104,1620.7,25,"FL"
"329","Oklahoma and Kansas Tornadoes (May 1999)","Severe Storm",19990503,19990506,3159.1,55,"FL"
"330","Eastern Drought/Heatwave (Summer 1999)","Drought",19990601,19990831,3923.4,502,"FL"
"331","South Florida Flooding (October 2000)","Flooding",20001003,20001004,1368,3,"FL"
"332","Western/Central/Southeast Drought/Heatwave (Spring-Fall 2000)","Drought",20000301,20001130,7595.6,140,"FL"
"333","Tropical Storm Allison (June 2001)","Tropical Cyclone",20010605,20010617,12527.4,43,"FL"
"334","Severe Weather (July 2003)","Severe Storm",20030721,20030723,1431.6,7,"FL"
"335","Hurricane Charley (August 2004)","Tropical Cyclone",20040813,20040814,22239.3,35,"FL"
"336","Hurricane Frances (September 2004)","Tropical Cyclone",20040903,20040909,13622.1,48,"FL"
"337","Hurricane Ivan (September 2004)","Tropical Cyclone",20040912,20040921,28495.7,57,"FL"
"338","Hurricane Jeanne (September 2004)","Tropical Cyclone",20040915,20040929,10420.1,28,"FL"
"339","Southeast Severe Weather (March 2005)","Severe Storm",20050324,20050327,1168,0,"FL"
"340","Hurricane Dennis (July 2005)","Tropical Cyclone",20050709,20050711,3368.3,15,"FL"
"341","Hurricane Katrina (August 2005)","Tropical Cyclone",20050825,20050830,168762.2,1833,"FL"
"342","Hurricane Rita (September 2005)","Tropical Cyclone",20050920,20050924,24975.1,119,"FL"
"343","Hurricane Wilma (October 2005)","Tropical Cyclone",20051024,20051024,25650,35,"FL"
"344","Midwest/Plains/Southeast Drought (Spring-Summer 2006)","Drought",20060301,20060831,7797.3,0,"FL"
"345","Numerous Wildfires (2006)","Wildfire",20060101,20061231,1907.2,28,"FL"
"346","Western Wildfires (Summer 2007)","Wildfire",20070601,20070831,3481.4,12,"FL"
"347","Western/Eastern Drought/Heatwave (Summer-Fall 2007)","Drought",20070601,20071130,4493.7,15,"FL"
"348","U.S. Wildfires (Fall 2008)","Wildfire",20080901,20081130,1505.5,16,"FL"
"349","Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)","Wildfire",20110601,20111130,2130.3,5,"FL"
"350","Hurricane Isaac (August 2012)","Tropical Cyclone",20120826,20120831,3122.8,9,"FL"
"351","Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014)","Severe Storm",20140427,20140501,1909.9,33,"FL"
"352","South/Southeast Severe Weather (April 2015)","Severe Storm",20150418,20150420,1412.3,0,"FL"
"353","Southeast and Eastern Tornadoes (February 2016)","Severe Storm",20160222,20160224,1133.6,10,"FL"
"354","North/Central Texas Hail Storm (April 2016)","Severe Storm",20160410,20160412,3813.5,0,"FL"
"355","Hurricane Matthew (October 2016)","Tropical Cyclone",20161008,20161012,10900,49,"FL"
"356","Southern Tornado Outbreak and Western Storms (January 2017)","Severe Storm",20170120,20170122,1171.3,24,"FL"
"357","Southeast Freeze (March 2017)","Freeze",20170314,20170316,1060,0,"FL"
"358","Hurricane Irma (September 2017)","Tropical Cyclone",20170906,20170912,52000,97,"FL"
"359","Southeastern Tornadoes and Severe Weather (March 2018)","Severe Storm",20180318,20180321,1495.7,0,"FL"
"360","Southern and Eastern Tornadoes and Severe Weather (April 2018)","Severe Storm",20180413,20180416,1357.8,3,"FL"
"361","Hurricane Michael (October 2018)","Tropical Cyclone",20181010,20181011,25474.5,49,"FL"
"362","Central/Eastern Drought/Heatwave (Summer-Fall 1980)","Drought",19800601,19801130,33166.2,1260,"GA"
"363","Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)","Winter Storm",19820108,19820116,1807.5,85,"GA"
"364","Southeast Drought (Summer 1983)","Drought",19830601,19830831,7795.5,0,"GA"
"365","Freeze, Cold Wave (December 1983)","Freeze",19831215,19831225,5275.3,151,"GA"
"366","Tornadoes, Severe Storms, Floods (Spring 1984)","Severe Storm",19840327,19840407,1519.7,80,"GA"
"367","Winter Storm, Cold Wave (January 1985)","Winter Storm",19850119,19850122,2042,150,"GA"
"368","Southeast Drought/Heatwave (Summer 1986)","Drought",19860601,19860831,4238.6,100,"GA"
"369","Severe Storms (May 1989)","Severe Storm",19890501,19890506,1169.1,21,"GA"
"370","Winter Storm, Cold Wave (December 1989)","Winter Storm",19891221,19891226,1441.8,100,"GA"
"371","Severe Storms, Tornadoes (March 1991)","Severe Storm",19910326,19910329,1231.9,0,"GA"
"372","Southeast Severe Weather (November 1992)","Severe Storm",19921121,19921123,1221.8,26,"GA"
"373","East Coast Blizzard and Severe Weather (March 1993)","Winter Storm",19930311,19930314,9948.6,270,"GA"
"374","Southeast Drought/Heat Wave (Summer 1993)","Drought",19930601,19930831,2264.4,16,"GA"
"375","Southeast Ice Storm (February 1994)","Winter Storm",19940208,19940213,5275.8,9,"GA"
"376","Tropical Storm Alberto (July 1994)","Tropical Cyclone",19940707,19940710,1757.4,32,"GA"
"377","Hurricane Opal (October 1995)","Tropical Cyclone",19951004,19951006,8018.2,27,"GA"
"378","Mississippi and Ohio Valley Severe Weather and Flooding (March 1997)","Severe Storm",19970228,19970305,1583.4,67,"GA"
"379","Western/Eastern Severe Weather and Flooding (Winter-Spring 1998)","Severe Storm",19971201,19980228,1627.3,132,"GA"
"380","Southern Drought/Heat Wave (Summer 1998)","Drought",19980601,19980831,5609.5,200,"GA"
"381","Central and Eastern Winter Storm (January 1999)","Winter Storm",19990101,19990104,1620.7,25,"GA"
"382","Oklahoma and Kansas Tornadoes (May 1999)","Severe Storm",19990503,19990506,3159.1,55,"GA"
"383","Eastern Drought/Heatwave (Summer 1999)","Drought",19990601,19990831,3923.4,502,"GA"
"384","Southeast Winter Storm (January 2000)","Winter Storm",20000121,20000124,1073.1,4,"GA"
"385","Western/Central/Southeast Drought/Heatwave (Spring-Fall 2000)","Drought",20000301,20001130,7595.6,140,"GA"
"386","Severe Storms and Tornadoes (April 2002)","Severe Storm",20020427,20020428,3036.2,7,"GA"
"387","U.S. Drought (Spring-Fall 2002)","Drought",20020301,20021130,13045.6,0,"GA"
"388","Western Fire Season (Fall 2002)","Wildfire",20020901,20021130,1918.1,21,"GA"
"389","Severe Storms/Tornadoes (May 2003)","Severe Storm",20030503,20030510,5862.2,51,"GA"
"390","Severe Weather (July 2003)","Severe Storm",20030721,20030723,1431.6,7,"GA"
"391","Hurricane Frances (September 2004)","Tropical Cyclone",20040903,20040909,13622.1,48,"GA"
"392","Hurricane Ivan (September 2004)","Tropical Cyclone",20040912,20040921,28495.7,57,"GA"
"393","Hurricane Jeanne (September 2004)","Tropical Cyclone",20040915,20040929,10420.1,28,"GA"
"394","Southeast Severe Weather (March 2005)","Severe Storm",20050324,20050327,1168,0,"GA"
"395","Hurricane Dennis (July 2005)","Tropical Cyclone",20050709,20050711,3368.3,15,"GA"
"396","Hurricane Katrina (August 2005)","Tropical Cyclone",20050825,20050830,168762.2,1833,"GA"
"397","Midwest/Southeast Tornadoes (April 6-8, 2006)","Severe Storm",20060406,20060408,2084.9,10,"GA"
"398","Midwest/Plains/Southeast Drought (Spring-Summer 2006)","Drought",20060301,20060831,7797.3,0,"GA"
"399","Spring Freeze (April 2007)","Freeze",20070404,20070410,2596.1,0,"GA"
"400","East/South Severe Weather and Flooding (April 2007)","Severe Storm",20070413,20070417,3185,9,"GA"
"401","Western Wildfires (Summer 2007)","Wildfire",20070601,20070831,3481.4,12,"GA"
"402","Western/Eastern Drought/Heatwave (Summer-Fall 2007)","Drought",20070601,20071130,4493.7,15,"GA"
"403","Southeast Tornadoes (March 2008)","Severe Storm",20080314,20080315,1379.8,5,"GA"
"404","U.S. Drought (2008)","Drought",20080101,20081231,8551.9,0,"GA"
"405","Midwest/Southeast Tornadoes (March 2009)","Severe Storm",20090325,20090328,2001.4,0,"GA"
"406","South/Southeast Severe Weather & Tornadoes (April 2009)","Severe Storm",20090409,20090410,1744.7,6,"GA"
"407","East/South Flooding and Severe Weather (May 2010)","Flooding",20100430,20100502,2696.8,32,"GA"
"408","Rockies/Central/East Severe Weather (June 2010)","Severe Storm",20100610,20100615,1072.3,2,"GA"
"409","Midwest/Southeast Tornadoes (April 2011)","Severe Storm",20110404,20110405,3247.1,9,"GA"
"410","Midwest/Southeast Tornadoes (April 2011)","Severe Storm",20110414,20110416,2409.3,38,"GA"
"411","Southeast/Ohio Valley/Midwest Tornadoes (April 2011)","Severe Storm",20110425,20110428,11959.6,321,"GA"
"412","Midwest/Southeast Tornadoes (May 2011)","Severe Storm",20110522,20110527,10643.3,177,"GA"
"413","Midwest/Southeast Tornadoes and Severe Weather (June 2011)","Severe Storm",20110618,20110622,1798.6,3,"GA"
"414","Southern Plains/Southwest Drought & Heat Wave (Spring-Summer 2011)","Drought",20110301,20110831,14044.5,95,"GA"
"415","Tropical Storm Lee (September 2011)","Tropical Cyclone",20110901,20110905,2939.6,21,"GA"
"416","Southeast/Ohio Valley Tornadoes (March 2012)","Severe Storm",20120302,20120303,3535.5,42,"GA"
"417","U.S. Drought/Heatwave (2012)","Drought",20120101,20121231,33903.9,123,"GA"
"418","Southeast Severe Weather (March 2013)","Severe Storm",20130318,20130318,2262.4,1,"GA"
"419","Midwest/Plains/East Tornadoes (May 2013)","Severe Storm",20130518,20130522,2688.2,27,"GA"
"420","Midwest/Southeast/Northeast Winter Storm (January 2014)","Winter Storm",20140105,20140108,2390,16,"GA"
"421","Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014)","Severe Storm",20140427,20140501,1909.9,33,"GA"
"422","Central and Eastern Winter storm, Cold Wave (February 2015)","Winter Storm",20150214,20150220,3258.4,30,"GA"
"423","South/Southeast Severe Weather (April 2015)","Severe Storm",20150418,20150420,1412.3,0,"GA"
"424","Texas and Oklahoma Flooding and Severe Weather (May 2015)","Flooding",20150523,20150526,2750.7,31,"GA"
"425","Southeast and Eastern Tornadoes (February 2016)","Severe Storm",20160222,20160224,1133.6,10,"GA"
"426","South/Southeast Tornadoes (April 2016)","Severe Storm",20160426,20160502,2610.2,6,"GA"
"427","Hurricane Matthew (October 2016)","Tropical Cyclone",20161008,20161012,10900,49,"GA"
"428","West/Northeast/Southeast Drought (2016)","Drought",20160101,20161231,3764.1,0,"GA"
"429","Western/Southeast Wildfires (Summer-Fall 2016)","Wildfire",20160601,20161231,2610.8,21,"GA"
"430","Southern Tornado Outbreak and Western Storms (January 2017)","Severe Storm",20170120,20170122,1171.3,24,"GA"
"431","Central/Southeast Tornado Outbreak (March 2017)","Severe Storm",20170228,20170301,1914.5,6,"GA"
"432","Southeast Freeze (March 2017)","Freeze",20170314,20170316,1060,0,"GA"
"433","Hurricane Irma (September 2017)","Tropical Cyclone",20170906,20170912,52000,97,"GA"
"434","Central and Eastern Winter Storm (January 2018)","Winter Storm",20180103,20180105,1084.8,22,"GA"
"435","Southeastern Tornadoes and Severe Weather (March 2018)","Severe Storm",20180318,20180321,1495.7,0,"GA"
"436","Southern and Eastern Tornadoes and Severe Weather (April 2018)","Severe Storm",20180413,20180416,1357.8,3,"GA"
"437","Central and Eastern Tornadoes and Severe Weather (July 2018)","Severe Storm",20180719,20180722,1616.7,0,"GA"
"438","Hurricane Florence (September 2018)","Tropical Cyclone",20180913,20180916,24480,53,"GA"
"439","Hurricane Michael (October 2018)","Tropical Cyclone",20181010,20181011,25474.5,49,"GA"
"440","Hurricane Iniki (September 1992)","Tropical Cyclone",19920911,19920912,5766,7,"HI"
"441","Western Storms & Flooding (December 1982-March 1983)","Flooding",19821213,19830331,4094,50,"ID"
"442","Freeze, Cold Wave (December 1983)","Freeze",19831215,19831225,5275.3,151,"ID"
"443","U.S. Drought/Heatwave (Summer 1988)","Drought",19880601,19880831,44408.3,454,"ID"
"444","Pacific Northwest Severe Flooding (February 1996)","Flooding",19960207,19960212,1683.8,9,"ID"
"445","West Coast Flooding (December 1996-January 1997)","Flooding",19970101,19970111,4887.5,36,"ID"
"446","Western Fire Season (Spring-Summer 2000)","Wildfire",20000301,20000831,1634,0,"ID"
"447","U.S. Drought (Spring-Fall 2002)","Drought",20020301,20021130,13045.6,0,"ID"
"448","California Wildfires (Fall 2003)","Wildfire",20030901,20031130,5524.5,22,"ID"
"449","Western/Central Drought/Heatwave (Spring-Fall 2003)","Drought",20030301,20031130,7095.1,35,"ID"
"450","Numerous Wildfires (2006)","Wildfire",20060101,20061231,1907.2,28,"ID"
"451","Western Wildfires (Summer 2007)","Wildfire",20070601,20070831,3481.4,12,"ID"
"452","Western/Eastern Drought/Heatwave (Summer-Fall 2007)","Drought",20070601,20071130,4493.7,15,"ID"
"453","U.S. Wildfires (Fall 2008)","Wildfire",20080901,20081130,1505.5,16,"ID"
"454","U.S. Drought (2008)","Drought",20080101,20081231,8551.9,0,"ID"
"455","Southwest/Great Plains Drought (2009)","Drought",20090101,20091231,4260.3,0,"ID"
"456","Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)","Wildfire",20110601,20111130,2130.3,5,"ID"
"457","Western Wildfires (Summer-Fall 2012)","Wildfire",20120601,20121130,1964.6,8,"ID"
"458","U.S. Drought/Heatwave (2012)","Drought",20120101,20121231,33903.9,123,"ID"
"459","Western/Plains Drought/Heatwave (Spring-Fall 2013)","Drought",20130301,20131130,11677.1,53,"ID"
"460","Western Drought (2014)","Drought",20140101,20141231,4367.3,0,"ID"
"461","Western and Alaskan Wildfires (Summer-Fall 2015)","Wildfire",20150601,20151130,3330.8,12,"ID"
"462","Western Drought (2015)","Drought",20150101,20151231,4912.6,0,"ID"
"463","Western/Southeast Wildfires (Summer-Fall 2016)","Wildfire",20160601,20161231,2610.8,21,"ID"
"464","Western Wildfires, California Firestorm (Summer-Fall 2017)","Wildfire",20170601,20171231,18725.2,54,"ID"
"465","Western Wildfires, California Firestorm (Summer-Fall 2018)","Wildfire",20180601,20181231,24480,106,"ID"
