"","Name","Disaster","Begin Date","End Date","Total CPI-Adjusted Cost (Millions of Dollars)","Deaths","state"
"120","Southeast Severe Weather (November 1992)","Severe Storm",19921121,19921123,1221.8,26,"AR"
"121","Southeast Ice Storm (February 1994)","Winter Storm",19940208,19940213,5275.8,9,"AR"
"122","Midwest/Plains Tornadoes (April 1994)","Severe Storm",19940425,19940427,1733.7,3,"AR"
"123","Blizzard/Floods (January 1996)","Winter Storm",19960101,19960131,5014.9,187,"AR"
"124","Mississippi and Ohio Valley Severe Weather and Flooding (March 1997)","Severe Storm",19970228,19970305,1583.4,67,"AR"
"125","Southern Drought/Heat Wave (Summer 1998)","Drought",19980601,19980831,5609.5,200,"AR"
"126","Central and Eastern Winter Storm (January 1999)","Winter Storm",19990101,19990104,1620.7,25,"AR"
"127","Oklahoma and Kansas Tornadoes (May 1999)","Severe Storm",19990503,19990506,3159.1,55,"AR"
"128","Eastern Drought/Heatwave (Summer 1999)","Drought",19990601,19990831,3923.4,502,"AR"
"129","Western/Central/Southeast Drought/Heatwave (Spring-Fall 2000)","Drought",20000301,20001130,7595.6,140,"AR"
"130","Midwest/Ohio Valley Hail and Tornadoes (April 2001)","Severe Storm",20010406,20010411,4549.5,3,"AR"
"131","Severe Storms and Tornadoes (April 2002)","Severe Storm",20020427,20020428,3036.2,7,"AR"
"132","Severe Storms/Tornadoes (May 2003)","Severe Storm",20030503,20030510,5862.2,51,"AR"
"133","Severe Weather (July 2003)","Severe Storm",20030721,20030723,1431.6,7,"AR"
"134","Midwest Drought (Spring-Summer 2005)","Drought",20050301,20050831,1990.9,0,"AR"
"135","Hurricane Rita (September 2005)","Tropical Cyclone",20050920,20050924,24975.1,119,"AR"
"136","Severe Storms and Tornadoes (March 2006)","Severe Storm",20060308,20060313,1738.9,10,"AR"
"137","Midwest/Plains/Southeast Drought (Spring-Summer 2006)","Drought",20060301,20060831,7797.3,0,"AR"
"138","Spring Freeze (April 2007)","Freeze",20070404,20070410,2596.1,0,"AR"
"139","Western/Eastern Drought/Heatwave (Summer-Fall 2007)","Drought",20070601,20071130,4493.7,15,"AR"
"140","Western, Central and Northeast Severe Weather (January 2008)","Severe Storm",20080104,20080109,1198,12,"AR"
"141","Southeast Tornadoes and Severe Weather (February 2008)","Severe Storm",20080205,20080206,1478.1,57,"AR"
"142","Southern Severe Weather (April 2008)","Severe Storm",20080409,20080411,1268.3,2,"AR"
"143","Hurricane Gustav (September 2008)","Tropical Cyclone",20080831,20080903,7316.3,53,"AR"
"144","Hurricane Ike (September 2008)","Tropical Cyclone",20080912,20080914,36598.4,112,"AR"
"145","U.S. Drought (2008)","Drought",20080101,20081231,8551.9,0,"AR"
"146","South/Southeast Severe Weather & Tornadoes (April 2009)","Severe Storm",20090409,20090410,1744.7,6,"AR"
"147","Midwest, South and East Severe Weather (June 2009)","Severe Storm",20090609,20090612,1620.3,0,"AR"
"148","East/South Flooding and Severe Weather (May 2010)","Flooding",20100430,20100502,2696.8,32,"AR"
"149","Midwest/Southeast Tornadoes (April 2011)","Severe Storm",20110414,20110416,2409.3,38,"AR"
"150","Ohio Valley/South Tornadoes (April 2011)","Severe Storm",20110419,20110420,1213.8,0,"AR"
"151","Southeast/Ohio Valley/Midwest Tornadoes (April 2011)","Severe Storm",20110425,20110428,11959.6,321,"AR"
"152","Midwest/Southeast Tornadoes (May 2011)","Severe Storm",20110522,20110527,10643.3,177,"AR"
"153","Mississippi River flooding (April-May 2011)","Flooding",20110401,20110531,3493.6,7,"AR"
"154","Southern Plains/Southwest Drought & Heat Wave (Spring-Summer 2011)","Drought",20110301,20110831,14044.5,95,"AR"
"155","U.S. Drought/Heatwave (2012)","Drought",20120101,20121231,33903.9,123,"AR"
"156","Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014)","Severe Storm",20140427,20140501,1909.9,33,"AR"
"157","Rockies/Central Plains Severe Weather (June 2014)","Severe Storm",20140603,20140605,2111.2,2,"AR"
"158","Midwest/Ohio Valley Severe Weather (April 2015)","Severe Storm",20150407,20150409,1711.1,2,"AR"
"159","South/Southeast Severe Weather (April 2015)","Severe Storm",20150418,20150420,1412.3,0,"AR"
"160","Texas and Oklahoma Flooding and Severe Weather (May 2015)","Flooding",20150523,20150526,2750.7,31,"AR"
"161","Texas Tornadoes and Midwest Flooding (December 2015)","Severe Storm",20151226,20151229,2158.2,50,"AR"
"162","South/Southeast Tornadoes (April 2016)","Severe Storm",20160426,20160502,2610.2,6,"AR"
"163","Central/Southeast Tornado Outbreak (March 2017)","Severe Storm",20170228,20170301,1914.5,6,"AR"
"164","Midwest Tornado Outbreak (March 2017)","Severe Storm",20170306,20170308,2306.6,2,"AR"
"165","Missouri and Arkansas Flooding and Central Severe Weather (May 2017)","Flooding",20170425,20170507,1758.5,20,"AR"
"166","Southern and Eastern Tornadoes and Severe Weather (April 2018)","Severe Storm",20180413,20180416,1357.8,3,"AR"
"167","Central and Eastern Tornadoes and Severe Weather (July 2018)","Severe Storm",20180719,20180722,1616.7,0,"AR"
"168","Western Storms & Flooding (December 1982-March 1983)","Flooding",19821213,19830331,4094,50,"CA"
"169","Western Severe Storms and Flooding (February 1986)","Severe Storm",19860214,19860216,1245,13,"CA"
"170","California Freeze (December 1990)","Freeze",19901218,19901225,6868,0,"CA"
"171","Oakland Firestorm (October 1991)","Wildfire",19911001,19911031,6303,25,"CA"
"172","California Wildfires (Fall 1993)","Wildfire",19930901,19931130,2468.7,4,"CA"
"173","Western Fire Season (Summer-Fall 1994)","Wildfire",19940601,19941130,1276,0,"CA"
"174","California Flooding (January-March 1995)","Flooding",19950101,19950331,4275,27,"CA"
"175","West Coast Flooding (December 1996-January 1997)","Flooding",19970101,19970111,4887.5,36,"CA"
"176","Western/Eastern Severe Weather and Flooding (Winter-Spring 1998)","Severe Storm",19971201,19980228,1627.3,132,"CA"
"177","California Freeze (December 1998)","Freeze",19981220,19981228,3975,0,"CA"
"178","Western/Central/Southeast Drought/Heatwave (Spring-Fall 2000)","Drought",20000301,20001130,7595.6,140,"CA"
"179","U.S. Drought (Spring-Fall 2002)","Drought",20020301,20021130,13045.6,0,"CA"
"180","Western Fire Season (Fall 2002)","Wildfire",20020901,20021130,1918.1,21,"CA"
"181","California Wildfires (Fall 2003)","Wildfire",20030901,20031130,5524.5,22,"CA"
"182","Numerous Wildfires (2006)","Wildfire",20060101,20061231,1907.2,28,"CA"
